date,home,away,score,tier,result
1977-02-19,Carlisle United,Sheffield United,4-1,2,H
1977-02-19,Oxford United,Rotherham United,1-2,3,A
1977-02-25,Southend United,Hartlepool United,1-0,4,H
1977-03-02,Newcastle United,Leeds United,3-0,1,H
1977-03-05,Scunthorpe United,Southend United,1-0,4,H
1977-03-11,Southend United,Cambridge United,0-1,4,A
1977-03-12,Manchester United,Leeds United,1-0,1,H
1977-03-12,Hartlepool United,Scunthorpe United,3-0,4,H
1977-03-19,Cambridge United,Hartlepool United,2-0,4,H
1977-03-19,Colchester United,Southend United,0-1,4,A
1977-03-23,Hereford United,Sheffield United,2-2,2,D
1977-03-26,Hartlepool United,Colchester United,2-2,4,D
1977-03-26,Scunthorpe United,Cambridge United,0-2,4,A
1977-04-02,Oxford United,Peterborough United,2-3,3,A
1977-04-02,Colchester United,Scunthorpe United,1-1,4,D
1977-04-11,Torquay United,Colchester United,2-2,4,D
1977-04-16,Newcastle United,West Ham United,3-0,1,H
1977-04-26,Leeds United,West Ham United,1-1,1,D
1977-04-30,Scunthorpe United,Torquay United,0-0,4,D
1977-05-04,Hereford United,Carlisle United,0-0,2,D
1977-05-04,Torquay United,Hartlepool United,1-0,4,H
1977-05-13,Southend United,Torquay United,0-3,4,A
1977-05-16,West Ham United,Manchester United,4-2,1,H
1977-08-20,Newcastle United,Leeds United,3-2,1,H
1977-08-20,Oxford United,Rotherham United,2-3,3,A
1977-08-20,Hartlepool United,Torquay United,1-2,4,A
1977-09-03,Newcastle United,West Ham United,2-3,1,A
1977-09-03,Rotherham United,Carlisle United,0-0,3,D
1977-09-03,Hartlepool United,Scunthorpe United,1-0,4,H
1977-09-10,Hereford United,Rotherham United,2-3,3,A
1977-09-10,Scunthorpe United,Southend United,1-2,4,A
1977-09-13,Peterborough United,Carlisle United,2-1,3,H
1977-09-17,Carlisle United,Oxford United,2-2,3,D
1977-09-17,Rotherham United,Colchester United,1-0,3,H
1977-09-24,Cambridge United,Rotherham United,1-1,3,D
1977-09-24,Hereford United,Carlisle United,1-0,3,H
1977-09-24,Leeds United,Manchester United,1-1,1,D
1977-09-30,Southend United,Torquay United,4-0,4,H
1977-10-01,Carlisle United,Colchester United,1-3,3,A
1977-10-01,Hereford United,Oxford United,2-1,3,H
1977-10-04,Peterborough United,Oxford United,1-0,3,H
1977-10-08,Cambridge United,Carlisle United,2-0,3,H
1977-10-08,Colchester United,Hereford United,0-0,3,D
1977-10-14,Colchester United,Oxford United,1-1,3,D
1977-10-14,Southend United,Hartlepool United,1-1,4,D
1977-10-15,Manchester United,Newcastle United,3-2,1,H
1977-10-15,Hereford United,Cambridge United,0-0,3,D
1977-10-22,Cambridge United,Colchester United,2-0,3,H
1977-10-22,Torquay United,Scunthorpe United,4-2,4,H
1977-10-28,Colchester United,Peterborough United,3-0,3,H
1977-10-29,Cambridge United,Oxford United,2-1,3,H
1977-11-05,Peterborough United,Cambridge United,2-0,3,H
1977-11-12,Rotherham United,Peterborough United,0-1,3,A
1977-11-26,West Ham United,Leeds United,0-1,1,A
1977-12-10,West Ham United,Manchester United,2-1,1,H
1977-12-26,Hereford United,Peterborough United,0-0,3,D
1978-01-02,Leeds United,Newcastle United,0-2,1,A
1978-01-02,Cambridge United,Peterborough United,1-0,3,H
1978-01-11,Oxford United,Cambridge United,2-3,3,A
1978-01-14,Rotherham United,Oxford United,2-0,3,H
1978-01-14,Torquay United,Hartlepool United,0-0,4,D
1978-01-21,West Ham United,Newcastle United,1-0,1,H
1978-02-03,Southend United,Scunthorpe United,2-0,4,H
1978-02-07,Carlisle United,Rotherham United,2-1,3,H
1978-02-11,Oxford United,Carlisle United,0-0,3,D
1978-02-25,Colchester United,Carlisle United,2-2,3,D
1978-02-25,Oxford United,Hereford United,3-0,3,H
1978-03-01,Manchester United,Leeds United,0-1,1,A
1978-03-04,Carlisle United,Cambridge United,1-1,3,D
1978-03-04,Hereford United,Colchester United,1-0,3,H
1978-03-07,Carlisle United,Peterborough United,0-0,3,D
1978-03-11,Newcastle United,Manchester United,2-2,1,D
1978-03-11,Cambridge United,Hereford United,2-0,3,H
1978-03-11,Oxford United,Colchester United,3-0,3,H
1978-03-11,Hartlepool United,Southend United,1-0,4,H
1978-03-14,Peterborough United,Colchester United,1-0,3,H
1978-03-14,Rotherham United,Cambridge United,1-0,3,H
1978-03-17,Colchester United,Cambridge United,2-1,3,H
1978-03-18,Scunthorpe United,Torquay United,0-1,4,A
1978-03-28,Peterborough United,Hereford United,2-1,3,H
1978-04-08,Leeds United,West Ham United,1-2,1,A
1978-04-08,Peterborough United,Rotherham United,1-0,3,H
1978-04-11,Carlisle United,Hereford United,2-0,3,H
1978-04-18,Rotherham United,Hereford United,1-0,3,H
1978-04-18,Scunthorpe United,Hartlepool United,2-0,4,H
1978-04-18,Torquay United,Southend United,0-1,4,A
1978-04-22,Manchester United,West Ham United,3-0,1,H
1978-04-26,Oxford United,Peterborough United,3-3,3,D
1978-05-03,Colchester United,Rotherham United,0-0,3,D
1978-08-23,Leeds United,Manchester United,2-3,1,A
1978-08-23,Newcastle United,West Ham United,0-3,2,A
1978-08-26,Torquay United,Hereford United,1-0,4,H
1978-09-02,Cambridge United,Newcastle United,0-0,2,D
1978-09-02,Colchester United,Rotherham United,0-0,3,D
1978-09-08,Carlisle United,Colchester United,4-0,3,H
1978-09-09,Hartlepool United,Hereford United,2-1,4,H
1978-09-11,Southend United,Oxford United,2-0,3,H
1978-09-12,Peterborough United,Carlisle United,0-0,3,D
1978-09-15,Southend United,Rotherham United,2-1,3,H
1978-09-23,West Ham United,Sheffield United,2-0,2,H
1978-09-23,Carlisle United,Southend United,0-0,3,D
1978-09-30,Torquay United,Hartlepool United,4-1,4,H
1978-10-14,Peterborough United,Oxford United,1-1,3,D
1978-10-17,Hartlepool United,Scunthorpe United,1-1,4,D
1978-10-20,Colchester United,Southend United,1-1,3,D
1978-10-21,Carlisle United,Rotherham United,1-1,3,D
1978-11-11,Rotherham United,Colchester United,1-0,3,H
1978-11-18,Hereford United,Torquay United,3-1,4,H
1978-11-22,Newcastle United,Cambridge United,1-0,2,H
1978-12-02,West Ham United,Cambridge United,5-0,2,H
1978-12-02,Oxford United,Rotherham United,1-0,3,H
1978-12-09,Torquay United,Scunthorpe United,0-1,4,A
1978-12-16,Scunthorpe United,Hereford United,4-2,4,H
1978-12-26,Sheffield United,Newcastle United,1-0,2,H
1978-12-26,Oxford United,Colchester United,2-0,3,H
1978-12-30,Sheffield United,Cambridge United,3-3,2,D
1978-12-30,Peterborough United,Southend United,0-1,3,A
1979-02-06,Rotherham United,Southend United,2-1,3,H
1979-02-10,Hartlepool United,Torquay United,3-2,4,H
1979-02-24,Oxford United,Peterborough United,0-2,3,A
1979-03-02,Southend United,Colchester United,1-1,3,D
1979-03-03,Rotherham United,Carlisle United,1-3,3,A
1979-03-07,Oxford United,Southend United,0-0,3,D
1979-03-07,Hereford United,Hartlepool United,1-0,4,H
1979-03-12,Southend United,Carlisle United,1-1,3,D
1979-03-20,Carlisle United,Peterborough United,4-1,3,H
1979-03-24,Manchester United,Leeds United,4-1,1,H
1979-03-24,West Ham United,Newcastle United,5-0,2,H
1979-03-31,Oxford United,Carlisle United,5-1,3,H
1979-03-31,Peterborough United,Colchester United,1-2,3,A
1979-04-02,Sheffield United,West Ham United,3-0,2,H
1979-04-02,Colchester United,Carlisle United,2-1,3,H
1979-04-07,Cambridge United,West Ham United,0-0,2,D
1979-04-07,Rotherham United,Oxford United,0-0,3,D
1979-04-07,Hereford United,Scunthorpe United,3-1,4,H
1979-04-14,Newcastle United,Sheffield United,1-3,2,A
1979-04-14,Colchester United,Oxford United,1-1,3,D
1979-04-16,Peterborough United,Rotherham United,1-1,3,D
1979-04-21,Southend United,Peterborough United,0-0,3,D
1979-04-24,Scunthorpe United,Hartlepool United,3-1,4,H
1979-04-28,Scunthorpe United,Torquay United,2-2,4,D
1979-05-01,Rotherham United,Peterborough United,1-1,3,D
1979-05-04,Colchester United,Peterborough United,4-2,3,H
1979-05-05,Cambridge United,Sheffield United,1-0,2,H
1979-05-05,Carlisle United,Oxford United,0-1,3,A
1979-08-18,Oxford United,Rotherham United,5-1,3,H
1979-08-18,Southend United,Carlisle United,1-0,3,H
1979-08-18,Torquay United,Scunthorpe United,3-0,4,H
1979-08-21,Colchester United,Sheffield United,1-0,3,H
1979-08-21,Scunthorpe United,Hartlepool United,1-3,4,A
1979-08-25,Rotherham United,Colchester United,3-0,3,H
1979-09-01,Southend United,Rotherham United,0-2,3,A
1979-09-18,Carlisle United,Rotherham United,3-1,3,H
1979-09-19,Torquay United,Hereford United,1-1,4,D
1979-09-22,Hartlepool United,Torquay United,2-2,4,D
1979-09-29,Sheffield United,Oxford United,3-1,3,H
1979-09-29,Peterborough United,Hereford United,2-0,4,H
1979-10-02,Rotherham United,Carlisle United,4-1,3,H
1979-10-03,Hereford United,Torquay United,0-0,4,D
1979-10-06,West Ham United,Newcastle United,1-1,2,D
1979-10-06,Rotherham United,Sheffield United,1-2,3,A
1979-10-09,Sheffield United,Colchester United,1-2,3,A
1979-10-09,Hartlepool United,Scunthorpe United,3-2,4,H
1979-10-12,Southend United,Colchester United,0-1,3,A
1979-10-20,Peterborough United,Hartlepool United,2-0,4,H
1979-10-24,Peterborough United,Torquay United,2-1,4,H
1979-10-27,Newcastle United,Cambridge United,2-0,2,H
1979-10-27,Oxford United,Carlisle United,1-0,3,H
1979-11-03,Carlisle United,Southend United,4-0,3,H
1979-11-03,Rotherham United,Oxford United,0-2,3,A
1979-11-03,Scunthorpe United,Torquay United,1-1,4,D
1979-11-07,Torquay United,Peterborough United,2-0,4,H
1979-11-10,Hartlepool United,Hereford United,3-0,4,H
1979-11-17,Carlisle United,Sheffield United,1-0,3,H
1979-12-07,Colchester United,Carlisle United,1-1,3,D
1979-12-08,Manchester United,Leeds United,1-1,1,D
1979-12-21,West Ham United,Cambridge United,3-1,2,H
1979-12-21,Sheffield United,Southend United,2-0,3,H
1979-12-26,Southend United,Oxford United,1-1,3,D
1979-12-29,Colchester United,Rotherham United,1-1,3,D
1979-12-29,Scunthorpe United,Hereford United,1-0,4,H
1980-01-05,Peterborough United,Scunthorpe United,3-1,4,H
1980-01-12,Oxford United,Colchester United,0-2,3,A
1980-01-12,Rotherham United,Southend United,2-1,3,H
1980-02-16,Oxford United,Sheffield United,1-1,3,D
1980-02-16,Hereford United,Peterborough United,0-1,4,A
1980-02-22,Colchester United,Southend United,2-1,3,H
1980-03-01,Hartlepool United,Peterborough United,1-2,4,A
1980-03-08,Cambridge United,Newcastle United,0-0,2,D
1980-03-08,Carlisle United,Oxford United,2-2,3,D
1980-03-15,Newcastle United,West Ham United,0-0,2,D
1980-03-15,Sheffield United,Rotherham United,1-0,3,H
1980-03-22,Hereford United,Hartlepool United,2-1,4,H
1980-03-29,Sheffield United,Carlisle United,0-2,3,A
1980-04-01,Cambridge United,West Ham United,2-0,2,H
1980-04-04,Southend United,Sheffield United,2-1,3,H
1980-04-05,Oxford United,Southend United,1-0,3,H
1980-04-12,Scunthorpe United,Peterborough United,1-0,4,H
1980-04-23,Torquay United,Hartlepool United,3-1,4,H
1980-04-26,Carlisle United,Colchester United,2-0,3,H
1980-05-02,Colchester United,Oxford United,3-0,3,H
1980-05-03,Leeds United,Manchester United,2-0,1,H
1980-05-03,Hereford United,Scunthorpe United,1-1,4,D
1980-08-16,Carlisle United,Sheffield United,0-3,3,A
1980-08-23,Sheffield United,Oxford United,1-0,3,H
1980-09-13,Hereford United,Southend United,0-0,4,D
1980-09-15,Southend United,Peterborough United,1-0,4,H
1980-09-20,Leeds United,Manchester United,0-0,1,D
1980-09-20,Oxford United,Carlisle United,1-2,3,A
1980-09-20,Hartlepool United,Hereford United,2-0,4,H
1980-09-26,Southend United,Hartlepool United,4-0,4,H
1980-09-27,Cambridge United,West Ham United,1-2,2,A
1980-09-27,Sheffield United,Rotherham United,1-2,3,A
1980-09-27,Torquay United,Peterborough United,2-0,4,H
1980-10-01,Peterborough United,Southend United,5-2,4,H
1980-10-04,Newcastle United,West Ham United,0-0,2,D
1980-10-07,Scunthorpe United,Hartlepool United,3-3,4,D
1980-10-17,Southend United,Scunthorpe United,2-0,4,H
1980-10-22,Peterborough United,Scunthorpe United,0-2,4,A
1980-10-25,Colchester United,Rotherham United,0-0,3,D
1980-10-25,Scunthorpe United,Torquay United,0-2,4,A
1980-10-29,Oxford United,Rotherham United,1-1,3,D
1980-11-01,Sheffield United,Colchester United,3-0,3,H
1980-11-04,Hartlepool United,Scunthorpe United,2-0,4,H
1980-11-08,Cambridge United,Newcastle United,2-1,2,H
1980-11-08,Scunthorpe United,Hereford United,3-1,4,H
1980-11-15,Sheffield United,Carlisle United,2-2,3,D
1980-11-29,Colchester United,Oxford United,3-0,3,H
1980-11-29,Hartlepool United,Torquay United,0-2,4,A
1980-12-06,Carlisle United,Colchester United,4-0,3,H
1980-12-06,Peterborough United,Hereford United,3-0,4,H
1980-12-19,Southend United,Torquay United,3-1,4,H
1980-12-20,Hartlepool United,Peterborough United,1-1,4,D
1980-12-27,Rotherham United,Carlisle United,3-0,3,H
1980-12-27,Hereford United,Torquay United,0-1,4,A
1981-01-10,Rotherham United,Oxford United,0-0,3,D
1981-01-10,Scunthorpe United,Peterborough United,1-1,4,D
1981-01-17,Oxford United,Colchester United,2-1,3,H
1981-01-17,Torquay United,Hartlepool United,2-1,4,H
1981-01-31,Oxford United,Sheffield United,2-0,3,H
1981-02-04,Torquay United,Scunthorpe United,2-1,4,H
1981-02-06,Southend United,Hereford United,2-0,4,H
1981-02-21,West Ham United,Cambridge United,4-2,2,H
1981-02-21,Rotherham United,Sheffield United,2-1,3,H
1981-02-21,Hartlepool United,Southend United,1-3,4,A
1981-02-21,Peterborough United,Torquay United,1-3,4,A
1981-02-28,Manchester United,Leeds United,0-1,1,A
1981-02-28,Carlisle United,Oxford United,0-0,3,D
1981-02-28,Hereford United,Hartlepool United,3-0,4,H
1981-03-07,West Ham United,Newcastle United,1-0,2,H
1981-03-22,Scunthorpe United,Southend United,2-1,4,H
1981-03-28,Rotherham United,Colchester United,2-0,3,H
1981-04-04,Colchester United,Sheffield United,1-1,3,D
1981-04-11,Newcastle United,Cambridge United,2-1,2,H
1981-04-11,Hereford United,Scunthorpe United,2-1,4,H
1981-04-18,Carlisle United,Rotherham United,0-1,3,A
1981-04-18,Torquay United,Hereford United,0-1,4,A
1981-04-25,Peterborough United,Hartlepool United,1-1,4,D
1981-04-25,Torquay United,Southend United,0-3,4,A
1981-05-02,Colchester United,Carlisle United,1-0,3,H
1981-05-02,Hereford United,Peterborough United,1-1,4,D
1981-08-29,Hartlepool United,Colchester United,1-3,4,A
1981-08-29,Sheffield United,Hereford United,2-2,4,D
1981-09-05,Cambridge United,Rotherham United,3-0,2,H
1981-09-12,Newcastle United,Cambridge United,1-0,2,H
1981-09-12,Carlisle United,Southend United,3-2,3,H
1981-09-12,Sheffield United,Colchester United,1-0,4,H
1981-09-12,Torquay United,Scunthorpe United,1-0,4,H
1981-09-18,Colchester United,Torquay United,3-0,4,H
1981-09-22,Scunthorpe United,Hartlepool United,2-1,4,H
1981-09-23,Hereford United,Torquay United,0-3,4,A
1981-09-26,Carlisle United,Oxford United,2-1,3,H
1981-09-26,Sheffield United,Scunthorpe United,1-0,4,H
1981-09-30,Manchester United,Leeds United,1-0,1,H
1981-10-03,Hereford United,Hartlepool United,1-1,4,D
1981-10-10,Hartlepool United,Peterborough United,0-1,4,A
1981-10-17,Scunthorpe United,Hereford United,2-2,4,D
1981-10-17,Sheffield United,Hartlepool United,1-1,4,D
1981-10-20,Colchester United,Hereford United,4-0,4,H
1981-10-24,Hartlepool United,Torquay United,0-0,4,D
1981-10-24,Newcastle United,Rotherham United,1-1,2,D
1981-10-24,Southend United,Oxford United,0-1,3,A
1981-10-28,Peterborough United,Hereford United,3-1,4,H
1981-10-31,Scunthorpe United,Peterborough United,0-1,4,A
1981-11-13,Colchester United,Scunthorpe United,2-1,4,H
1981-11-14,Torquay United,Sheffield United,1-1,4,D
1981-11-28,Leeds United,West Ham United,3-3,1,D
1982-01-23,Colchester United,Hartlepool United,3-3,4,D
1982-01-27,Manchester United,West Ham United,1-0,1,H
1982-01-30,Torquay United,Colchester United,1-0,4,H
1982-02-06,Southend United,Carlisle United,1-1,3,D
1982-02-06,Cambridge United,Newcastle United,1-0,2,H
1982-02-06,Scunthorpe United,Torquay United,0-2,4,A
1982-02-06,Colchester United,Sheffield United,5-2,4,H
1982-02-10,Hartlepool United,Scunthorpe United,3-3,4,D
1982-02-10,Torquay United,Hereford United,1-2,4,A
1982-02-13,Rotherham United,Cambridge United,1-0,2,H
1982-02-13,Hartlepool United,Hereford United,2-1,4,H
1982-02-17,Hereford United,Sheffield United,1-1,4,D
1982-02-20,Oxford United,Carlisle United,2-1,3,H
1982-02-20,Scunthorpe United,Sheffield United,2-1,4,H
1982-02-27,Peterborough United,Hartlepool United,4-4,4,D
1982-03-06,Hartlepool United,Sheffield United,2-3,4,A
1982-03-06,Hereford United,Scunthorpe United,2-1,4,H
1982-03-10,Hereford United,Colchester United,2-2,4,D
1982-03-13,Rotherham United,Newcastle United,0-0,2,D
1982-03-13,Oxford United,Southend United,0-2,3,A
1982-03-13,Torquay United,Hartlepool United,1-1,4,D
1982-03-20,Peterborough United,Scunthorpe United,2-1,4,H
1982-03-24,Peterborough United,Torquay United,1-0,4,H
1982-04-02,Scunthorpe United,Colchester United,2-1,4,H
1982-04-03,Leeds United,Manchester United,0-0,1,D
1982-04-03,Sheffield United,Torquay United,4-1,4,H
1982-04-10,Torquay United,Peterborough United,1-2,4,A
1982-04-13,Peterborough United,Colchester United,2-2,4,D
1982-04-21,Peterborough United,Sheffield United,0-4,4,A
1982-04-24,West Ham United,Leeds United,4-3,1,H
1982-04-27,Colchester United,Peterborough United,1-1,4,D
1982-05-05,Hereford United,Peterborough United,2-1,4,H
1982-05-08,West Ham United,Manchester United,1-1,1,D
1982-05-08,Sheffield United,Peterborough United,4-0,4,H
1982-08-28,Hartlepool United,Scunthorpe United,0-0,4,D
1982-09-04,Hereford United,Colchester United,0-0,4,D
1982-09-04,Peterborough United,Hartlepool United,2-1,4,H
1982-09-18,Rotherham United,Cambridge United,2-0,2,H
1982-09-25,Cambridge United,Carlisle United,1-1,2,D
1982-10-02,Leeds United,Cambridge United,2-1,2,H
1982-10-02,Rotherham United,Newcastle United,1-5,2,A
1982-10-02,Scunthorpe United,Colchester United,2-1,4,H
1982-10-02,Torquay United,Hartlepool United,3-2,4,H
1982-10-09,Peterborough United,Scunthorpe United,0-1,4,A
1982-10-16,Leeds United,Carlisle United,1-1,2,D
1982-10-23,Peterborough United,Torquay United,1-3,4,A
1982-10-30,Leeds United,Newcastle United,3-1,2,H
1982-10-30,Torquay United,Scunthorpe United,1-1,4,D
1982-10-30,West Ham United,Manchester United,3-1,1,H
1982-11-06,Oxford United,Sheffield United,0-0,3,D
1982-11-13,Sheffield United,Southend United,0-1,3,A
1982-11-13,Hereford United,Hartlepool United,1-0,4,H
1982-11-13,Carlisle United,Rotherham United,2-2,2,D
1982-11-20,Carlisle United,Newcastle United,2-0,2,H
1982-11-27,Newcastle United,Cambridge United,2-0,2,H
1982-12-04,Hereford United,Scunthorpe United,0-2,4,A
1982-12-11,Rotherham United,Leeds United,0-1,2,A
1982-12-27,Peterborough United,Colchester United,2-1,4,H
1982-12-27,Torquay United,Hereford United,2-1,4,H
1983-01-01,Newcastle United,Carlisle United,2-2,2,D
1983-01-01,Oxford United,Southend United,1-0,3,H
1983-01-01,Peterborough United,Hereford United,4-0,4,H
1983-01-01,Torquay United,Colchester United,2-0,4,H
1983-01-03,Colchester United,Hartlepool United,4-1,4,H
1983-01-07,Colchester United,Hereford United,3-2,4,H
1983-01-12,Hartlepool United,Peterborough United,0-0,4,D
1983-01-16,Scunthorpe United,Hartlepool United,3-0,4,H
1983-01-22,Cambridge United,Rotherham United,2-0,2,H
1983-02-12,Cambridge United,Leeds United,0-0,2,D
1983-02-12,Hartlepool United,Torquay United,0-2,4,A
1983-02-26,Carlisle United,Leeds United,2-2,2,D
1983-03-05,Torquay United,Peterborough United,2-1,4,H
1983-03-12,Newcastle United,Leeds United,2-1,2,H
1983-03-12,Scunthorpe United,Torquay United,2-0,4,H
1983-03-19,Sheffield United,Oxford United,3-2,3,H
1983-03-22,Manchester United,West Ham United,2-1,1,H
